index,RF_Regressor,train_set,ET_Regressor,XGB_Regressor,ensamble
235,1510.8875047412116,1573.0,1490.0297142857141,1565.4271,1534.8360857625908
235,1590.6011968340085,1645.0,1601.8388491600997,1667.204,1626.1610063715739
235,2050.0212913980863,2365.0,2249.2060436507945,2333.7751,2249.500620383314
235,1986.582931781164,2097.0,2134.846880952381,2153.2559,2092.9214180271365
235,1632.9842883119336,1561.0,1545.78739021164,1551.2905,1572.7655514668309
235,1289.795051147274,1208.0,1167.6901186868681,1214.0759,1219.8902743921294
235,1296.857052590343,1311.0,1237.2822099567104,1291.5961,1284.1838329707477
235,1341.2070291693744,1334.0,1311.2361666666673,1341.1165,1331.8899127285417
235,1414.5729793750334,1518.0,1390.6656750841755,1513.101,1459.0849016519117
235,1866.848806552308,2156.0,2078.2291230158717,2160.7407,2065.454663056107
235,1873.9518689621202,2177.0,2112.806984126984,2181.2083,2086.2417762605573
235,1672.7237157231937,1608.0,1540.5088174603175,1617.3656,1609.649533442362
235,1217.8322973467452,1116.0,1112.9467738095234,1118.2692,1141.2620590488327
235,1220.3682126477659,1167.0,1154.8398452380954,1168.3182,1177.6315737976372
235,1222.4965358550912,1210.0,1228.8059308561808,1197.0333,1214.5839479766462
235,1287.5366449851588,1255.0,1290.7123470418471,1272.341,1276.3974836024547
235,1801.02017883452,2029.0,2013.4670992063482,2021.3679,1966.213799490686
235,1834.1293522817418,2221.0,2078.339285714286,2186.3723,2079.960238112288
235,1665.3865852862011,1601.0,1549.8623611111109,1604.7211,1605.2425039333123
